epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.015,1.3698,4.40726,1.81247,0.79717,0.22222,0.1182,0.03099,1.2764,5.24085,2.27616,1.111e-05,1.111e-05,1.111e-05
2,47.8841,1.4325,4.10043,1.92867,0.79858,0.22222,0.13571,0.04572,1.30036,4.52476,2.27198,3.25051e-05,3.25051e-05,3.25051e-05
3,69.4659,1.30118,3.42041,1.77612,0.63706,0.38889,0.7479,0.5363,1.33766,4.0221,2.31334,5.28003e-05,5.28003e-05,5.28003e-05
4,90.5005,1.14018,2.78999,1.6115,0.51996,0.69376,0.77537,0.60276,1.26677,3.09898,2.16587,7.19956e-05,7.19956e-05,7.19956e-05
5,111.453,1.13899,2.53151,1.60272,0.92507,0.5,0.64994,0.54084,1.20872,3.22141,2.02853,9.0091e-05,9.0091e-05,9.0091e-05
6,132.323,1.05548,2.11067,1.5543,0.30508,0.5,0.50181,0.43986,1.30618,3.84776,2.03573,0.000107087,0.000107087,0.000107087
7,152.133,1.04986,2.07816,1.51631,0.97328,0.33333,0.55603,0.45918,1.23482,3.83789,2.01198,0.000122982,0.000122982,0.000122982
8,171.826,0.84233,1.80256,1.33976,0.42196,0.5,0.61084,0.50642,1.3281,3.8644,2.1516,0.000137778,0.000137778,0.000137778
9,191.339,0.90039,1.55811,1.34038,0.46444,0.66667,0.61318,0.49549,1.42714,3.77144,2.31279,0.000151474,0.000151474,0.000151474
10,210.434,0.87312,1.66798,1.4057,0.79448,0.66667,0.62132,0.50533,1.53706,4.75715,2.363,0.00016407,0.00016407,0.00016407
11,229.696,0.93989,1.73363,1.36419,0.50676,0.75439,0.66601,0.53647,1.43871,4.78054,2.18706,0.000175566,0.000175566,0.000175566
12,248.404,0.8526,1.34215,1.27209,0.52022,0.77778,0.77713,0.58659,1.45113,4.31767,2.24507,0.000185962,0.000185962,0.000185962
13,267.838,0.77299,1.33361,1.21924,0.59859,0.77778,0.77697,0.58656,1.39314,3.66698,2.23146,0.000195258,0.000195258,0.000195258
14,288.347,0.83126,1.28651,1.23078,0.96568,0.66667,0.77825,0.57533,1.36401,3.31717,2.23375,0.000203455,0.000203455,0.000203455
15,307.531,0.71212,1.22162,1.25982,0.93955,0.66667,0.77791,0.57529,1.49838,3.26882,2.43146,0.000210551,0.000210551,0.000210551
16,327.313,0.75764,1.16683,1.21841,0.96857,0.66667,0.73696,0.55208,1.49071,3.08258,2.51166,0.000216548,0.000216548,0.000216548
17,347.292,0.79953,1.07385,1.21524,0.9714,0.66667,0.8115,0.50036,1.54225,3.36534,2.69101,0.000221445,0.000221445,0.000221445
18,367.338,0.74672,1.06825,1.19554,0.59184,0.77778,0.78988,0.4786,1.77196,3.19705,3.04738,0.000225241,0.000225241,0.000225241
19,387.236,0.80101,1.1085,1.26831,0.59697,0.76884,0.73488,0.46132,1.85701,2.81864,3.10967,0.000227938,0.000227938,0.000227938
20,408,0.81588,1.18022,1.3014,0.93949,0.65329,0.72319,0.50505,1.76278,2.95007,2.92601,0.000229535,0.000229535,0.000229535
21,428.511,0.75106,1.07059,1.24586,0.79381,0.65631,0.6184,0.46542,1.71565,3.51333,2.88731,0.000230033,0.000230033,0.000230033
22,449.186,0.75292,0.94694,1.20862,0.93161,0.5,0.60778,0.46413,1.65834,3.67393,2.81518,0.00022943,0.00022943,0.00022943
23,469.265,0.69668,0.93371,1.24046,0.60691,0.65533,0.66333,0.5472,1.65044,3.55551,2.93051,0.000227727,0.000227727,0.000227727
24,490.094,0.83093,0.96529,1.28448,0.63883,0.66667,0.66333,0.53893,1.70791,3.50372,3.02997,0.000224925,0.000224925,0.000224925
25,511.358,0.69149,0.82037,1.1477,0.64822,0.66667,0.66333,0.38147,2.1771,3.79806,3.64466,0.000221022,0.000221022,0.000221022
26,532.002,0.67341,0.90352,1.17864,0.61357,0.65853,0.66333,0.28195,2.44593,3.51457,4.07081,0.00021602,0.00021602,0.00021602
27,552.915,0.75456,0.93058,1.2699,0.58102,0.65509,0.67257,0.28098,2.65366,3.60718,4.28603,0.000209918,0.000209918,0.000209918
28,573.884,0.71007,0.82459,1.19225,0.58102,0.65509,0.67257,0.28098,2.65366,3.60718,4.28603,0.000202716,0.000202716,0.000202716
29,594.996,0.70909,0.77442,1.14389,0.59956,0.66405,0.67689,0.28039,2.55827,4.05818,4.11828,0.000194414,0.000194414,0.000194414
30,616.548,0.69982,0.77289,1.20113,0.62257,0.66667,0.67441,0.32435,2.34285,4.22441,3.80247,0.000185012,0.000185012,0.000185012
31,638.078,0.91479,1.44357,1.45768,0.62257,0.66667,0.67441,0.32435,2.34285,4.22441,3.80247,0.00017451,0.00017451,0.00017451
32,659.645,0.59395,1.09963,1.12597,0.61349,0.66667,0.66517,0.50686,1.76859,3.16023,3.03092,0.000162909,0.000162909,0.000162909
33,681.189,0.603,0.97947,1.1105,0.61675,0.66667,0.67326,0.53992,1.56346,2.72009,3.12676,0.000150207,0.000150207,0.000150207
34,702.583,0.5572,0.91598,1.04376,0.61675,0.66667,0.67326,0.53992,1.56346,2.72009,3.12676,0.000136406,0.000136406,0.000136406
35,724.169,0.51899,0.87942,1.16236,0.62189,0.66667,0.66333,0.5721,1.6233,2.3465,3.28423,0.000121505,0.000121505,0.000121505
36,746.459,0.46637,0.90237,1.08393,0.6042,0.66386,0.66333,0.53893,1.63002,2.13847,3.28221,0.000105503,0.000105503,0.000105503
37,768.28,0.45039,0.8442,1.08387,0.6042,0.66386,0.66333,0.53893,1.63002,2.13847,3.28221,8.84023e-05,8.84023e-05,8.84023e-05
38,790.088,0.43656,0.81239,1.05402,0.59442,0.66249,0.66333,0.53893,1.57682,2.0479,3.11468,7.02013e-05,7.02013e-05,7.02013e-05
39,812.045,0.47683,0.84809,1.04754,0.59579,0.6624,0.66333,0.56383,1.59603,1.98985,3.12409,5.09005e-05,5.09005e-05,5.09005e-05
40,833.956,0.42492,0.78396,1.05611,0.59579,0.6624,0.66333,0.56383,1.59603,1.98985,3.12409,3.04997e-05,3.04997e-05,3.04997e-05
